epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,54375.2,1.88626,1.25776,0.00359,0.60136,0.60378,0.54279,0.29443,2.06056,1.4295,0.00457,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,55399.6,1.8973,1.22388,0.00348,0.60224,0.59786,0.54426,0.29029,2.11479,1.42647,0.00467,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,56429.1,1.94538,1.24207,0.00344,0.61143,0.60494,0.56219,0.30127,2.10693,1.38747,0.00461,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,57452.6,1.81628,1.25527,0.00372,0.63735,0.59779,0.57106,0.30981,2.08027,1.36729,0.00455,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,58509.9,1.83486,1.21134,0.00353,0.63984,0.57849,0.55612,0.29325,2.14798,1.40247,0.00466,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,59530.6,1.81005,1.18748,0.00337,0.61479,0.58801,0.55407,0.29538,2.09175,1.40593,0.00459,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,60548.5,1.89527,1.23605,0.00346,0.61682,0.58578,0.55498,0.2962,2.11233,1.39933,0.00461,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,61575.5,1.85911,1.22727,0.00337,0.62404,0.58762,0.55879,0.29279,2.07344,1.39951,0.00447,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,62632.5,1.84357,1.21114,0.00353,0.61402,0.59042,0.55595,0.29685,2.10744,1.40193,0.00457,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,63657.2,1.80334,1.21465,0.00345,0.62024,0.57397,0.55122,0.29376,2.07162,1.4203,0.00453,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,64682.7,1.83636,1.20204,0.00346,0.63057,0.60207,0.56546,0.30105,2.07213,1.37382,0.00449,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,65699.6,1.75115,1.1952,0.00348,0.62569,0.60043,0.56907,0.30928,2.02494,1.3673,0.00437,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,66745.9,1.77602,1.19051,0.00343,0.61845,0.58716,0.56133,0.29075,2.12732,1.38169,0.00457,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,67777.4,1.86778,1.19833,0.00334,0.61321,0.59877,0.56796,0.3019,2.08924,1.3789,0.00459,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,68800.3,1.80036,1.17764,0.00324,0.62702,0.59895,0.57064,0.30214,2.06333,1.37846,0.00458,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,69824.5,1.76596,1.20722,0.00334,0.65591,0.59789,0.57446,0.30748,2.06858,1.36492,0.00455,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,70876.5,1.72801,1.15815,0.00334,0.62757,0.60446,0.57309,0.30722,2.10256,1.35987,0.00449,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,71898.1,1.79664,1.19518,0.00347,0.62665,0.59094,0.56428,0.30078,2.02889,1.39196,0.0044,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,72928.4,1.82906,1.17808,0.00328,0.62318,0.58212,0.55296,0.29226,2.07341,1.40663,0.00446,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,73963.2,1.89882,1.17966,0.00324,0.60766,0.59257,0.55703,0.29212,2.14513,1.39782,0.00462,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,75016.9,1.76144,1.11788,0.00319,0.60577,0.60016,0.54952,0.29265,2.10423,1.42491,0.00452,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,76044.3,1.74314,1.13377,0.00329,0.61119,0.60634,0.55639,0.29932,2.0746,1.41667,0.00447,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,77070.4,1.78383,1.15702,0.00327,0.6241,0.61294,0.56958,0.30847,2.04983,1.39103,0.00447,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,78101.7,1.79317,1.17801,0.00329,0.63723,0.61648,0.58158,0.31644,2.04365,1.35677,0.00433,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,79154.5,1.75821,1.15839,0.00324,0.6442,0.61062,0.58348,0.31776,2.03858,1.35891,0.00436,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,80180.1,1.79367,1.18179,0.00343,0.63368,0.6086,0.58239,0.31566,2.0475,1.35929,0.0044,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,81202.8,1.75622,1.12307,0.00323,0.63969,0.60212,0.57677,0.31315,2.08805,1.35497,0.00445,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,82221,1.75544,1.17575,0.00327,0.64602,0.60979,0.57932,0.31306,2.0778,1.35798,0.00446,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,83289.7,1.80758,1.15569,0.00333,0.62658,0.61536,0.5753,0.3091,2.06246,1.36635,0.00447,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,84307.6,1.70707,1.12274,0.00328,0.63332,0.6117,0.57466,0.30661,2.06088,1.37611,0.00446,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,85326.8,1.76741,1.1373,0.00327,0.63993,0.61443,0.58034,0.30986,2.05899,1.37492,0.00446,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,86353.1,1.80304,1.16427,0.00328,0.6476,0.6064,0.5798,0.31019,2.07681,1.37618,0.00456,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,87414.4,1.81349,1.15311,0.00319,0.63804,0.60782,0.58219,0.31551,2.05768,1.37369,0.00453,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,88442.6,1.77408,1.15878,0.00325,0.65267,0.60359,0.58298,0.31855,2.03667,1.36567,0.00448,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,89467.5,1.79138,1.16461,0.00339,0.64165,0.61496,0.58682,0.3182,2.03311,1.36646,0.00448,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,90493.2,1.75392,1.14753,0.00317,0.63946,0.61791,0.5883,0.32059,2.05232,1.35875,0.00449,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,91549.3,1.76706,1.15516,0.00325,0.63873,0.62169,0.58753,0.32006,2.05607,1.36034,0.00447,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,92573.4,1.74409,1.1514,0.0032,0.63411,0.62355,0.58299,0.31282,2.05648,1.36832,0.00443,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,93595.2,1.78497,1.11242,0.00315,0.63683,0.62201,0.58297,0.31498,2.05251,1.36571,0.00447,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,94604.7,1.78418,1.16633,0.00369,0.64384,0.608,0.58178,0.31879,2.03826,1.36181,0.00448,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,95637.4,1.74238,1.17061,0.00389,0.64628,0.61581,0.58044,0.31522,2.03651,1.36211,0.00453,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,96646.4,1.72336,1.17262,0.00378,0.64517,0.61368,0.58216,0.31614,2.03614,1.36014,0.00453,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,97657,1.72398,1.14925,0.00379,0.63584,0.61192,0.58363,0.31556,2.05615,1.36268,0.00456,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,98671.9,1.73315,1.14031,0.00378,0.61948,0.61206,0.57803,0.31295,2.07127,1.36568,0.00459,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,99708.7,1.74194,1.1557,0.00372,0.63001,0.60225,0.57707,0.31189,2.08324,1.37102,0.00457,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,100718,1.72515,1.14167,0.00362,0.63251,0.60199,0.57639,0.31225,2.0874,1.36934,0.00458,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,101731,1.73603,1.14136,0.00356,0.63842,0.60624,0.58271,0.31612,2.06645,1.36059,0.00452,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,102730,1.73053,1.11468,0.00352,0.63856,0.60459,0.58302,0.31762,2.04025,1.36476,0.00452,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,103770,1.68146,1.15586,0.00366,0.64193,0.60744,0.58483,0.31761,2.03872,1.36233,0.00451,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
