epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,14262.8,1.59247,1.04967,1.03399,0.65141,0.62636,0.62156,0.3198,1.75171,1.08616,1.05931,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,14533.2,1.61261,1.0406,1.02677,0.61834,0.61605,0.5974,0.29019,1.85596,1.10943,1.07586,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,14799.3,1.60404,1.03905,1.01472,0.60396,0.62772,0.58759,0.29792,1.78445,1.13714,1.07705,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,15060.8,1.62792,1.05122,1.03113,0.6018,0.57682,0.5804,0.28972,1.80583,1.19216,1.07394,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,15325.2,1.61398,1.06377,1.03759,0.61394,0.59757,0.58401,0.29413,1.80821,1.1526,1.06762,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,15580.4,1.54153,1.01009,1.029,0.6437,0.60903,0.58999,0.29827,1.79239,1.12187,1.06577,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,15845.5,1.69101,1.0543,1.02632,0.65569,0.59395,0.59111,0.29292,1.80879,1.14904,1.0689,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,16104,1.56325,1.03588,1.03451,0.65676,0.61831,0.61301,0.32007,1.71721,1.09618,1.0597,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,16365.2,1.54066,1.01066,1.032,0.64846,0.60109,0.60123,0.31003,1.75537,1.1125,1.06028,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,16630.6,1.64351,1.02143,1.02367,0.65206,0.58163,0.59173,0.29261,1.84786,1.12539,1.0709,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,16890,1.61077,1.00611,1.02249,0.65275,0.60525,0.60709,0.30621,1.79786,1.10024,1.06248,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,17147.4,1.59929,1.01258,1.0136,0.64911,0.61341,0.60905,0.31115,1.77942,1.08442,1.05701,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,17413.1,1.6184,1.01697,1.02239,0.65283,0.60188,0.59996,0.30628,1.77074,1.11275,1.06249,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,17674.8,1.53384,0.97983,1.02402,0.65928,0.60859,0.60464,0.31301,1.74454,1.13929,1.05747,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,17929.8,1.52033,0.98753,1.02275,0.64556,0.61409,0.60585,0.31668,1.74596,1.08783,1.05892,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,18190.9,1.59737,0.98198,1.00981,0.64886,0.57566,0.56569,0.27203,1.89555,1.16023,1.08059,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,18457.1,1.55754,0.97688,1.01224,0.6599,0.62147,0.6135,0.31589,1.7566,1.06875,1.05499,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,18713.6,1.6117,1.02319,1.021,0.6588,0.62662,0.61975,0.32205,1.73946,1.06139,1.05605,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,18972.8,1.56678,0.97227,1.01733,0.66626,0.63731,0.62898,0.33484,1.6952,1.05383,1.04925,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,19228.3,1.56924,0.999,1.02127,0.6524,0.63736,0.62368,0.32698,1.70433,1.06951,1.05458,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,19493,1.57059,0.96992,1.01727,0.64189,0.60924,0.60257,0.3017,1.82429,1.09841,1.06021,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,19755.5,1.58698,0.99023,1.01448,0.67785,0.63433,0.62333,0.33273,1.71075,1.05131,1.05208,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,20015.6,1.60997,0.9728,1.00675,0.65818,0.62575,0.62149,0.32472,1.73527,1.06689,1.0498,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,20270.7,1.59879,0.99446,1.00971,0.64147,0.61051,0.59038,0.29329,1.8447,1.1212,1.06585,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,20543.1,1.56298,0.97059,1.00849,0.65436,0.63577,0.61203,0.31296,1.77279,1.0559,1.05929,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,20809,1.618,0.99984,1.01341,0.64027,0.63278,0.61053,0.31017,1.77821,1.07122,1.05634,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,21074.4,1.47014,0.93327,1.00132,0.64384,0.63909,0.61669,0.31963,1.73577,1.05813,1.04875,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,21332,1.52633,0.96861,1.00531,0.66562,0.64,0.62185,0.3256,1.71525,1.04948,1.04904,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,21613.8,1.58506,0.98367,1.00744,0.65433,0.61294,0.60305,0.30031,1.80172,1.08784,1.05817,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,21866,1.51326,0.98221,1.01185,0.67599,0.62734,0.62289,0.32162,1.73221,1.06545,1.04955,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,22118.6,1.53409,0.97575,1.01057,0.66156,0.63182,0.62502,0.32469,1.72226,1.05883,1.04932,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,22378.4,1.61305,0.98412,1.00609,0.6705,0.63098,0.62462,0.32641,1.70694,1.05511,1.04844,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,22760,1.57962,0.97208,1.00389,0.67168,0.63453,0.62723,0.33043,1.68238,1.05122,1.04316,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,23825.8,1.54207,0.95475,0.99547,0.66945,0.63346,0.62524,0.3254,1.70881,1.05989,1.04485,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,24462.6,1.5697,0.9635,1.00835,0.66873,0.63929,0.62497,0.32809,1.71124,1.0576,1.04716,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,24714.7,1.54333,0.95123,1.00197,0.66846,0.63363,0.61733,0.32766,1.70766,1.05585,1.04679,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,26817.2,1.54244,0.94814,1.00155,0.66001,0.63791,0.61908,0.32886,1.71061,1.04297,1.04527,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,27070.2,1.50814,0.94342,1.00316,0.66475,0.6407,0.62387,0.33097,1.70264,1.03695,1.04602,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,27329,1.53359,0.9405,0.99737,0.66016,0.63294,0.62361,0.32544,1.73134,1.04932,1.04844,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,27583.1,1.50519,0.93862,0.99607,0.67495,0.62253,0.62367,0.32689,1.73224,1.05138,1.04807,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,27848.7,1.56941,0.9515,0.9894,0.66514,0.62656,0.6193,0.32732,1.73569,1.05238,1.04904,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,28107.1,1.56801,0.94374,0.99324,0.66938,0.62497,0.62021,0.32407,1.74442,1.05663,1.048,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,28362.8,1.50248,0.94119,1.00056,0.67071,0.62759,0.626,0.3253,1.73744,1.0546,1.04576,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,28611.5,1.59282,1.01442,1.03073,0.6791,0.62603,0.62517,0.32723,1.71561,1.05702,1.04478,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,28869.3,1.56267,0.97786,1.00192,0.68366,0.62378,0.62345,0.32613,1.70796,1.0761,1.04062,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,29120.1,1.57419,0.9445,1.00343,0.6715,0.62769,0.61491,0.31412,1.75,1.08241,1.04379,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,29368.7,1.5939,0.98317,1.02577,0.64166,0.61957,0.59615,0.29565,1.80778,1.11035,1.05599,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,29619.8,1.54268,0.96835,1.00563,0.64801,0.63127,0.60058,0.3007,1.79515,1.08891,1.05543,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,29878.3,1.52657,0.9471,1.01032,0.65194,0.63761,0.61357,0.31252,1.76216,1.06932,1.05006,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,30127.3,1.52323,0.92524,1.00078,0.67207,0.62618,0.61766,0.3169,1.75064,1.05931,1.04611,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,30376.5,1.52249,0.92415,0.99802,0.6738,0.63039,0.61926,0.31925,1.74509,1.05718,1.0458,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,30626.9,1.52653,0.93666,0.99591,0.67204,0.62869,0.61651,0.31858,1.74569,1.05789,1.04601,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,30886.8,1.5085,0.93633,1.00138,0.66834,0.63075,0.61763,0.31871,1.75243,1.05742,1.04595,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
