epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,21031.1,2.08459,1.32497,0.00421,0.58002,0.55239,0.50536,0.26098,2.20639,1.46304,0.00508,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,21409.1,2.13111,1.3637,0.00415,0.58758,0.55816,0.51679,0.26671,2.21623,1.44172,0.00495,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,21790.6,1.99429,1.37163,0.00444,0.60729,0.55608,0.52726,0.27722,2.14313,1.44683,0.00497,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,22178.4,2.01742,1.32519,0.00426,0.58971,0.5497,0.51752,0.26558,2.25808,1.43088,0.00515,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,22558,1.97511,1.30265,0.00406,0.58757,0.54508,0.50637,0.26548,2.22882,1.44377,0.00509,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,22925.9,2.07384,1.35611,0.00413,0.59298,0.55423,0.52067,0.26875,2.20371,1.44439,0.00487,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,23304.5,2.04471,1.35628,0.00415,0.59428,0.56776,0.5218,0.26541,2.15209,1.45174,0.00486,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,23687.8,2.04241,1.33675,0.00425,0.59511,0.58336,0.5394,0.28725,2.11699,1.4103,0.00482,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,28741.2,1.9722,1.33933,0.00412,0.60467,0.57063,0.53315,0.28472,2.18059,1.40907,0.00486,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,29116.5,2.01906,1.33505,0.00421,0.61222,0.57342,0.53364,0.27975,2.19927,1.41625,0.00495,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,29478.2,1.92804,1.31943,0.00426,0.60351,0.56092,0.53187,0.28036,2.14989,1.42525,0.00485,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,29847.9,1.95119,1.30789,0.00412,0.58267,0.56214,0.52479,0.25626,2.30435,1.44895,0.00499,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,30218,2.03268,1.30816,0.00392,0.59638,0.55309,0.52321,0.26947,2.25689,1.44306,0.00502,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,30581.3,1.96299,1.27904,0.00383,0.57698,0.5631,0.51837,0.26474,2.22772,1.44414,0.00499,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,30949,1.94978,1.32501,0.00405,0.59527,0.5613,0.53332,0.27704,2.16027,1.43973,0.00476,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,31323.1,1.90195,1.27324,0.00399,0.58419,0.57116,0.52843,0.28068,2.14959,1.43722,0.0048,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,31683.5,1.96853,1.30313,0.00416,0.60072,0.57941,0.53613,0.28947,2.10822,1.42293,0.00471,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,32053.5,2.01936,1.3055,0.00395,0.59669,0.57416,0.53454,0.28291,2.17086,1.42726,0.00477,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
